[INFO ] 2017-10-07 13:33:00,374 CS425.MemberGroup.class main: Start the heartbeat sending thread 
[INFO ] 2017-10-07 13:33:15,825 CS425.ReceiveThread.class Thread-3: Receive join request from : 10.195.9.90 1507401190795 
[INFO ] 2017-10-07 13:33:15,826 CS425.ReceiveThread.class Thread-3: Receive join request from normal node 
[INFO ] 2017-10-07 13:33:15,826 CS425.ReceiveThread.class Thread-3: Inform the node 10.194.193.97about the join of node: 10.195.9.90 1507401190795 
[INFO ] 2017-10-07 13:33:15,829 CS425.ReceiveThread.class Thread-3: Udate the local alive state of node :10.195.9.90 1507401190795 
[INFO ] 2017-10-07 13:33:15,829 CS425.ReceiveThread.class Thread-3: Send the membership list to node :10.195.9.90 
[INFO ] 2017-10-07 13:33:35,172 CS425.MemberGroup.class main: Member 10.194.193.97 1507401177313 is viewing its membership list. 
[INFO ] 2017-10-07 13:33:35,173 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:33:35,173 CS425.MemberGroup.class main: 10.194.193.97 1507401177313	0	1507401177313	true 
[INFO ] 2017-10-07 13:33:35,173 CS425.MemberGroup.class main: Member 10.194.193.97 1507401177313 is viewing its membership list. 
[INFO ] 2017-10-07 13:33:35,173 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:33:35,173 CS425.MemberGroup.class main: 10.195.9.90 1507401190795	0	1507401195829	true 
[INFO ] 2017-10-07 13:34:43,517 CS425.MemberGroup.class main: Member 10.194.193.97 1507401177313 is viewing its membership list. 
[INFO ] 2017-10-07 13:34:43,517 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:34:43,517 CS425.MemberGroup.class main: 10.194.193.97 1507401177313	0	1507401177313	true 
[INFO ] 2017-10-07 13:34:43,517 CS425.MemberGroup.class main: Member 10.194.193.97 1507401177313 is viewing its membership list. 
[INFO ] 2017-10-07 13:34:43,518 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:34:43,518 CS425.MemberGroup.class main: 10.195.9.90 1507401190795	0	1507401195829	true 
[INFO ] 2017-10-07 13:39:48,539 CS425.MemberGroup.class main: CS425_MP2 log file has been created! 
[INFO ] 2017-10-07 13:39:50,777 CS425.MemberGroup.class main: Start the listening thread 
[INFO ] 2017-10-07 13:39:50,778 CS425.MemberGroup.class main: Add the node into local membership list. 
[INFO ] 2017-10-07 13:39:50,789 CS425.MemberGroup.class main: Start the failure detection thread. 
[INFO ] 2017-10-07 13:39:50,791 CS425.MemberGroup.class main: Start the heartbeat sending thread 
[INFO ] 2017-10-07 13:39:59,694 CS425.ReceiveThread.class Thread-3: Receive join request from : 10.195.9.90 1507401596319 
[INFO ] 2017-10-07 13:39:59,694 CS425.ReceiveThread.class Thread-3: Receive join request from normal node 
[INFO ] 2017-10-07 13:39:59,694 CS425.ReceiveThread.class Thread-3: Inform the node 10.194.193.97about the join of node: 10.195.9.90 1507401596319 
[INFO ] 2017-10-07 13:39:59,697 CS425.ReceiveThread.class Thread-3: Udate the local alive state of node :10.195.9.90 1507401596319 
[INFO ] 2017-10-07 13:39:59,697 CS425.ReceiveThread.class Thread-3: Send the membership list to node :10.195.9.90 
[INFO ] 2017-10-07 13:40:01,700 CS425.MemberGroup.class main: Member 10.194.193.97 1507401588440 is viewing its membership list. 
[INFO ] 2017-10-07 13:40:01,700 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:40:01,700 CS425.MemberGroup.class main: 10.195.9.90 1507401596319	0	1507401599697	true 
[INFO ] 2017-10-07 13:40:01,701 CS425.MemberGroup.class main: Member 10.194.193.97 1507401588440 is viewing its membership list. 
[INFO ] 2017-10-07 13:40:01,701 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:40:01,701 CS425.MemberGroup.class main: 10.194.193.97 1507401588440	0	1507401588440	true 
[INFO ] 2017-10-07 13:40:42,086 CS425.MemberGroup.class main: Member 10.194.193.97 1507401588440 is viewing its membership list. 
[INFO ] 2017-10-07 13:40:42,086 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:40:42,086 CS425.MemberGroup.class main: 10.195.9.90 1507401596319	0	1507401599697	true 
[INFO ] 2017-10-07 13:40:42,086 CS425.MemberGroup.class main: Member 10.194.193.97 1507401588440 is viewing its membership list. 
[INFO ] 2017-10-07 13:40:42,086 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:40:42,087 CS425.MemberGroup.class main: 10.194.193.97 1507401588440	0	1507401588440	true 
[INFO ] 2017-10-07 13:43:42,907 CS425.MemberGroup.class main: Member 10.194.193.97 1507401588440 is viewing its membership list. 
[INFO ] 2017-10-07 13:43:42,907 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:43:42,908 CS425.MemberGroup.class main: 10.195.9.90 1507401596319	0	1507401599697	true 
[INFO ] 2017-10-07 13:43:42,908 CS425.MemberGroup.class main: Member 10.194.193.97 1507401588440 is viewing its membership list. 
[INFO ] 2017-10-07 13:43:42,908 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:43:42,908 CS425.MemberGroup.class main: 10.194.193.97 1507401588440	0	1507401588440	true 
[INFO ] 2017-10-07 13:44:37,115 CS425.MemberGroup.class main: Member 10.194.193.97 1507401588440 is viewing its membership list. 
[INFO ] 2017-10-07 13:44:37,115 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:44:37,115 CS425.MemberGroup.class main: 10.195.9.90 1507401596319	0	1507401599697	true 
[INFO ] 2017-10-07 13:44:37,115 CS425.MemberGroup.class main: Member 10.194.193.97 1507401588440 is viewing its membership list. 
[INFO ] 2017-10-07 13:44:37,115 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:44:37,115 CS425.MemberGroup.class main: 10.194.193.97 1507401588440	0	1507401588440	true 
[INFO ] 2017-10-07 13:44:41,010 CS425.MemberGroup.class main: The member 10.194.193.97 1507401588440is viewing its id. 
[INFO ] 2017-10-07 13:49:48,451 CS425.MemberGroup.class main: CS425_MP2 log file has been created! 
[INFO ] 2017-10-07 13:49:52,065 CS425.MemberGroup.class main: Start the listening thread 
[INFO ] 2017-10-07 13:49:52,066 CS425.MemberGroup.class main: Add the node into local membership list. 
[INFO ] 2017-10-07 13:49:52,077 CS425.MemberGroup.class main: Start the failure detection thread. 
[INFO ] 2017-10-07 13:49:52,080 CS425.MemberGroup.class main: Start the heartbeat sending thread 
[INFO ] 2017-10-07 13:49:56,839 CS425.MemberGroup.class main: Member 10.194.193.97 1507402188350 is viewing its membership list. 
[INFO ] 2017-10-07 13:49:56,839 CS425.MemberGroup.class main: The membershiplist is as follows: 
[INFO ] 2017-10-07 13:49:56,839 CS425.MemberGroup.class main: 10.194.193.97 1507402188350	0	1507402188350	true 
[INFO ] 2017-10-07 13:50:02,011 CS425.ReceiveThread.class Thread-3: Receive join request from : 10.195.9.90 1507402198804 
[INFO ] 2017-10-07 13:50:02,012 CS425.ReceiveThread.class Thread-3: Receive join request from normal node 
[INFO ] 2017-10-07 13:50:02,012 CS425.ReceiveThread.class Thread-3: Inform the node 10.194.193.97about the join of node: 10.195.9.90 1507402198804 
[ERROR] 2017-10-07 13:50:02,013 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,014 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,014 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[ERROR] 2017-10-07 13:50:02,015 CS425.ReceiveThread.class Thread-0: java.net.BindException: Address already in use (Bind failed) 
[INFO ] 2017-10-07 13:50:02,015 CS425.ReceiveThread.class Thread-3: Udate the local alive state of node :10.195.9.90 1507402198804 
